X,Vx,U0,roll,roll_sp,Y,Vy,U1,pitch,pitch_sp,yaw,yaw_sp,TorqueYaw,Ez,Z,Vz,Tm,pwmedf,s0,s1,s2  
-0.01072, -0.15966,   0.65047, 0.01577, -0.53165,         0.01200, 0.15233,   -0.69752, 4.59265, -0.08124,        40.46896, 60.00000, 0.04724,            0.34888, 0.34050, 0.35680,   20.72282, 1480,      3,3,3    
-0.01319, -0.26068,   0.44453, -0.07094, -0.69671,        0.01379, 0.13501,   -0.56887, 4.53810, -0.38813,        40.72556, 60.00000, 0.04852,            0.33892, 0.34342, 0.34530,   20.76866, 1480,      3,3,3    
-0.01546, -0.13721,   0.62599, -0.12001, -0.42673,        0.01473, 0.07445,   -0.44600, 4.49014, -0.20843,        40.91292, 60.00000, 0.04649,            0.34891, 0.34650, 0.33018,   20.83932, 1481,      3,3,3    
-0.01698, -0.09693,   0.47435, -0.17049, -0.34591,        0.01547, 0.05784,   -0.51863, 4.44870, -0.14440,        41.07561, 60.00000, 0.04501,            0.34894, 0.34979, 0.33229,   20.79158, 1481,      3,3,3    
-0.01792, -0.06040,   0.55654, -0.21993, -0.30353,        0.01624, 0.07177,   -0.60286, 4.42233, -0.01790,        41.26028, 60.00000, 0.04626,            0.35892, 0.35260, 0.32439,   20.81758, 1481,      3,3,3    
-0.01867, -0.05343,   0.42400, -0.26169, -0.23172,        0.01653, 0.01467,   -0.66075, 4.39897, -0.13171,        41.40997, 60.00000, 0.04612,            0.36890, 0.35723, 0.35318,   20.57849, 1478,      3,3,3    
-0.02004, -0.10795,   0.50437, -0.31045, -0.37908,        0.01710, 0.05875,   -0.63951, 4.37248, -0.17650,        41.57914, 60.00000, 0.04576,            0.35894, 0.35982, 0.33270,   20.69055, 1479,      3,3,3    
-0.02318, -0.50533,   0.31372, -0.32772, -1.01738,        0.01759, 0.00489,   -0.67366, 4.35072, -1.34171,        41.66080, 60.00000, 0.04555,            0.38887, 0.36487, 0.33910,   20.59694, 1478,      3,3,3    
-0.02870, -0.35135,   0.50016, -0.37738, -0.80686,        0.01788, 0.03344,   -0.68065, 4.30901, -0.90928,        41.81057, 60.00000, 0.04778,            0.35897, 0.36919, 0.34316,   20.52744, 1477,      3,3,3    
-0.03189, -0.24052,   0.45962, -0.42540, -0.72258,        0.01848, 0.12225,   -0.39830, 4.26777, -0.43417,        41.91370, 60.00000, 0.05112,            0.38891, 0.37514, 0.35571,   20.38258, 1475,      3,3,3    
